symbol,reportDate,date,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,balance_date,balance_symbol,balance_reportedCurrency,balance_cik,balance_fillingDate,balance_acceptedDate,balance_calendarYear,balance_period,balance_cashAndCashEquivalents,balance_shortTermInvestments,balance_cashAndShortTermInvestments,balance_netReceivables,balance_inventory,balance_otherCurrentAssets,balance_totalCurrentAssets,balance_propertyPlantEquipmentNet,balance_goodwill,balance_intangibleAssets,balance_goodwillAndIntangibleAssets,balance_longTermInvestments,balance_taxAssets,balance_otherNonCurrentAssets,balance_totalNonCurrentAssets,balance_otherAssets,balance_totalAssets,balance_accountPayables,balance_shortTermDebt,balance_taxPayables,balance_deferredRevenue,balance_otherCurrentLiabilities,balance_totalCurrentLiabilities,balance_longTermDebt,balance_deferredRevenueNonCurrent,balance_deferredTaxLiabilitiesNonCurrent,balance_otherNonCurrentLiabilities,balance_totalNonCurrentLiabilities,balance_otherLiabilities,balance_capitalLeaseObligations,balance_totalLiabilities,balance_preferredStock,balance_commonStock,balance_retainedEarnings,balance_accumulatedOtherComprehensiveIncomeLoss,balance_othertotalStockholdersEquity,balance_totalStockholdersEquity,balance_totalEquity,balance_totalLiabilitiesAndStockholdersEquity,balance_minorityInterest,balance_totalLiabilitiesAndTotalEquity,balance_totalInvestments,balance_totalDebt,balance_netDebt,balance_link,balance_finalLink,cashflow_date,cashflow_symbol,cashflow_reportedCurrency,cashflow_cik,cashflow_fillingDate,cashflow_acceptedDate,cashflow_calendarYear,cashflow_period,cashflow_netIncome,cashflow_depreciationAndAmortization,cashflow_deferredIncomeTax,cashflow_stockBasedCompensation,cashflow_changeInWorkingCapital,cashflow_accountsReceivables,cashflow_inventory,cashflow_accountsPayables,cashflow_otherWorkingCapital,cashflow_otherNonCashItems,cashflow_netCashProvidedByOperatingActivities,cashflow_investmentsInPropertyPlantAndEquipment,cashflow_acquisitionsNet,cashflow_purchasesOfInvestments,cashflow_salesMaturitiesOfInvestments,cashflow_otherInvestingActivites,cashflow_netCashUsedForInvestingActivites,cashflow_debtRepayment,cashflow_commonStockIssued,cashflow_commonStockRepurchased,cashflow_dividendsPaid,cashflow_otherFinancingActivites,cashflow_netCashUsedProvidedByFinancingActivities,cashflow_effectOfForexChangesOnCash,cashflow_netChangeInCash,cashflow_cashAtEndOfPeriod,cashflow_cashAtBeginningOfPeriod,cashflow_operatingCashFlow,cashflow_capitalExpenditure,cashflow_freeCashFlow,cashflow_link,cashflow_finalLink
HLT,2024-12-31,2024-12-31,USD,0001585689,2025-02-06,2025-02-06 10:05:57,2024,FY,11174000000,8111000000,3063000000,0.2741184894,0,415000000,0,415000000,278000000,693000000,8804000000,0,569000000,146000000,2498000000,0.2235546805,2370000000,0.2120995167,-587000000,1783000000,0.1595668516,244000000,1535000000,0.1373724718,6.2,6.2,248000000,247500000,https://www.sec.gov/Archives/edgar/data/1585689/000158568925000008/0001585689-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568925000008/hlt-20241231.htm,2024-12-31,HLT,USD,0001585689,2025-02-06,2025-02-06 10:05:57,2024,FY,1301000000,-12251000000,1301000000,1583000000,0,0,3272000000,978000000,5035000000,6419000000,11648000000,297000000,318000000,9000000,13250000000,0,16522000000,409000000,535000000,0,664000000,3092000000,4700000000,11234000000,1300000000,322000000,2655000000,15511000000,0,735000000,20211000000,0,0,-2822000000,-782000000.0,-123000000,-3727000000,-3727000000,16522000000,0,16522000000,-11954000000,12003000000,10702000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568925000008/0001585689-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568925000008/hlt-20241231.htm,2024-12-31,HLT,USD,0001585689,2025-02-06,2025-02-06 10:05:57,2024,FY,1539000000,146000000,-247000000,176000000,504000000,-103000000,0,155000000,452000000,-105000000,2013000000,0,-228000000,0,0,-218000000,-446000000,1953000000,0,-2893000000,-150000000,45000000,-1045000000,-21000000,501000000,1376000000,875000000,2013000000,-198000000.0,1815000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568925000008/0001585689-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568925000008/hlt-20241231.htm
HOLX,2024-09-28,2024-09-28,USD,0000859737,2024-11-27,2024-11-27 07:24:17,2024,FY,4030300000,1802500000,2227800000,0.5527628216,272800000,409400000,585400000,994800000,77600000,1345200000,3060100000,108700000,122100000,309000000,1296200000,0.3216137756,970200000,0.2407264968,-105100000,865100000,0.2146490336,75600000,789500000,0.1958911247,3.35,3.32,235723000,237553000,https://www.sec.gov/Archives/edgar/data/859737/000085973724000024/0000859737-24-000024-index.htm,https://www.sec.gov/Archives/edgar/data/859737/000085973724000024/holx-20240928.htm,2024-09-28,HOLX,USD,0000859737,2024-11-27,2024-11-27 07:24:17,2024,FY,2160200000,173400000,2333600000,600400000,679800000,209500000,3823300000,630000000,3443100000,844600000,4287700000,150700000,128800000,135500000,5332700000,0,9156000000,203800000,64800000,69400000,212900000,486300000,1037200000,2593200000,13800000,371200000,10600000,2988800000,0,123400000,4026000000,0,0,0,-111500000.0,5241500000,5130000000,5130000000,9156000000,0,9156000000,324100000,2658000000,497800000,https://www.sec.gov/Archives/edgar/data/859737/000085973724000024/0000859737-24-000024-index.htm,https://www.sec.gov/Archives/edgar/data/859737/000085973724000024/holx-20240928.htm,2024-09-28,HOLX,USD,0000859737,2024-11-27,2024-11-27 07:24:17,2024,FY,789500000,309000000,-72100000,82300000,84100000,41000000,-47400000,22200000,68300000,92400000,1285200000,-72400000,-297300000,-267700000,0,-143600000,-781000000,-291300000,37800000,-835100000,0,-20000000,-1108600000,8900000,-595500000,2160200000,2755700000,1285200000,-140200000.0,1145000000,https://www.sec.gov/Archives/edgar/data/859737/000085973724000024/0000859737-24-000024-index.htm,https://www.sec.gov/Archives/edgar/data/859737/000085973724000024/holx-20240928.htm
HD,2025-02-02,2025-02-02,USD,0000354950,2025-03-21,2025-03-20 18:36:42,2024,FY,159514000000,106206000000,53308000000,0.3341901024,0,0,0,28748000000,3034000000,31782000000,137988000000,201000000,2321000000,3761000000,25435000000,0.1594530888,21526000000,0.1349474027,-2120000000,19406000000,0.1216570332,4600000000,14806000000,0.092819439,14.96,14.91,990000000,993000000,https://www.sec.gov/Archives/edgar/data/354950/000035495025000085/0000354950-25-000085-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495025000085/hd-20250202.htm,2025-02-02,HD,USD,0000354950,2025-03-21,2025-03-20 18:36:42,2024,FY,1659000000,0,1659000000,4903000000,23451000000,1670000000,31683000000,35294000000,19475000000,8983000000,28458000000,0,0,684000000,64436000000,0,96119000000,11938000000,6172000000,1460000000,2610000000,6481000000,28661000000,56118000000,0,1962000000,2738000000,60818000000,0,8907000000,89479000000,0,90000000,89533000000,-1129000000.0,-81854000000,6640000000,6640000000,96119000000,0,96119000000,0,62290000000,60631000000,https://www.sec.gov/Archives/edgar/data/354950/000035495025000085/0000354950-25-000085-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495025000085/hd-20250202.htm,2025-02-02,HD,USD,0000354950,2025-03-21,2025-03-20 18:36:42,2024,FY,14806000000,3761000000,15000000,442000000,694000000,174000000,0,518000000,2000000,92000000,19810000000,-3485000000,-17644000000,0,0,98000000,-21031000000,8790000000,395000000,-649000000,-8929000000,-301000000,-694000000,-186000000,-2101000000,1659000000,3760000000,19810000000,-3485000000.0,16325000000,https://www.sec.gov/Archives/edgar/data/354950/000035495025000085/0000354950-25-000085-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495025000085/hd-20250202.htm
HON,2024-12-31,2024-12-31,USD,0000773840,2025-02-14,2025-02-14 14:50:25,2024,FY,38498000000,23836000000,14662000000,0.3808509533,1536000000,0,0,5466000000,0,7449000000,31285000000,426000000,1058000000,1334000000,9605000000,0.2494934802,7660000000,0.1989713751,-447000000,7213000000,0.1873603824,1473000000,5705000000,0.1481895163,8.76,8.71,650900000,655300000,https://www.sec.gov/Archives/edgar/data/773840/000077384025000010/0000773840-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000010/hon-20241231.htm,2024-12-31,HON,USD,0000773840,2025-02-14,2025-02-14 14:50:25,2024,FY,10567000000,386000000,10953000000,7819000000,6442000000,2694000000,27908000000,6194000000,21825000000,6656000000,28481000000,1394000000,238000000,10981000000,47288000000,0,75196000000,6880000000,5819000000,1253000000,3506000000,3798000000,21256000000,26406000000,1190000000,1787000000,5396000000,34779000000,0,1126000000,56035000000,0,958000000,50835000000,-3491000000.0,-29683000000,18619000000,19161000000,75196000000,542000000,75196000000,1780000000,32225000000,21658000000,https://www.sec.gov/Archives/edgar/data/773840/000077384025000010/0000773840-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000010/hon-20241231.htm,2024-12-31,HON,USD,0000773840,2025-02-14,2025-02-14 14:50:25,2024,FY,5705000000,1334000000,-233000000,194000000,0,-96000000,-304000000,95000000,0,-903000000,6097000000,-1164000000,-8880000000,0,964000000,-1077000000,-10157000000,10856000000,537000000,-1655000000,-2902000000,3000000,6839000000,-137000000,2642000000,10567000000,7925000000,6097000000,-1164000000.0,4933000000,https://www.sec.gov/Archives/edgar/data/773840/000077384025000010/0000773840-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384025000010/hon-20241231.htm
HRL,2024-10-27,2024-10-27,USD,0000048465,2024-12-05,2024-12-05 14:40:07,2024,FY,11920797000,9898659000,2022138000,0.1696311077,0,0,0,1005294000,-51088000,954206000,10852865000,48396000,80894000,257756000,1374084000,0.1152677963,1067932000,0.0895856208,-32498000,1035434000,0.0868594608,230803000,805038000,0.0675322296,1.47,1.47,548129000,548832000,https://www.sec.gov/Archives/edgar/data/48465/000004846524000051/0000048465-24-000051-index.htm,https://www.sec.gov/Archives/edgar/data/48465/000004846524000051/hrl-20241027.htm,2024-10-27,HRL,USD,0000048465,2024-12-05,2024-12-05 14:40:07,2024,FY,741881000,24742000,766623000,868288000,1576300000,35265000,3246476000,2194728000,4923487000,1732704000,6656191000,719481000,0,617853000,10188253000,0,13434729000,735604000,7813000,21916000,0,633966000,1399299000,2850944000,0,589366000,591110000,4031420000,0,0,5430719000,0,8037000,7677537000,-263331000.0,571177000,7993420000,8004010000,13434729000,10590000,13434729000,744223000,2858757000,2116876000,https://www.sec.gov/Archives/edgar/data/48465/000004846524000051/0000048465-24-000051-index.htm,https://www.sec.gov/Archives/edgar/data/48465/000004846524000051/hrl-20241027.htm,2024-10-27,HRL,USD,0000048465,2024-12-05,2024-12-05 14:40:07,2024,FY,804631000,257755999,87670000,23233000,68158000,1899000,95283000,-27200000,-1824000,25290001,1266738000,-256441000,0,-14058000,0,33592000,-236907000,-461252000,0,0,-614960000,46116000,-1030096000,5614000,5349000,741881000,736532000,1266738000,-256441000.0,1010297000,https://www.sec.gov/Archives/edgar/data/48465/000004846524000051/0000048465-24-000051-index.htm,https://www.sec.gov/Archives/edgar/data/48465/000004846524000051/hrl-20241027.htm
HST,2024-12-31,2024-12-31,USD,0001070750,2025-02-26,2025-02-26 11:13:39,2024,FY,5684000000,2651000000,3033000000,0.5336030964,0,117000000,0,117000000,2041000000,2158000000,4809000000,54000000,215000000,762000000,1533000000,0.2697044335,875000000,0.1539408867,-154000000,721000000,0.1268472906,14000000,697000000,0.122624912,0.99,0.99,702100000,705900000,https://www.sec.gov/Archives/edgar/data/1070750/000107075025000071/0001070750-25-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1061937/000107075025000071/hst-20241231.htm,2024-12-31,HST,USD,0001070750,2025-02-26,2025-02-26 11:13:39,2024,FY,554000000,0,554000000,115000000,0,242000000,911000000,11465000000,0,0,0,166000000,0,506000000,12137000000,0,13048000000,351000000,0,0,0,1046000000,1397000000,4091000000,0,0,783000000,4874000000,0,0,6271000000,0,7000000,0,-83000000.0,6685000000,6609000000,6774000000,13048000000,165000000,13048000000,166000000,5643000000,5089000000,https://www.sec.gov/Archives/edgar/data/1070750/000107075025000071/0001070750-25-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1061937/000107075025000071/hst-20241231.htm,2024-12-31,HST,USD,0001070750,2025-02-26,2025-02-26 11:13:39,2024,FY,707000000,762000000,8000000,24000000,0,0,0,0,106000000,-3000000,1498000000,0,0,0,0,-2040000000,-2040000000,877000000,0,-107000000,-737000000,-46000000,-13000000,-10000000,-565000000,798000000,1363000000,1498000000,-548000000.0,950000000,https://www.sec.gov/Archives/edgar/data/1070750/000107075025000071/0001070750-25-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1061937/000107075025000071/hst-20241231.htm
HWM,2024-12-31,2024-12-31,USD,0000004281,2025-02-14,2025-02-13 17:35:08,2024,FY,7430000000,5119000000,2311000000,0.3110363392,33000000,362000000,0,362000000,283000000,678000000,5797000000,20000000,182000000,277000000,1842000000,0.2479138627,1633000000,0.2197846568,-250000000,1383000000,0.1861372813,228000000,1155000000,0.1554508748,2.83,2.81,408000000,410000000,https://www.sec.gov/Archives/edgar/data/4281/000000428125000011/0000004281-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428125000011/hwm-20241231.htm,2024-12-31,HWM,USD,0000004281,2025-02-14,2025-02-13 17:35:08,2024,FY,564000000,0,564000000,709000000,1840000000,249000000,3362000000,2541000000,4010000000,475000000,4485000000,0,35000000,96000000,7157000000,0,10519000000,948000000,43000000,60000000,0,498000000,1549000000,3428000000,0,0,988000000,4416000000,0,156000000,5965000000,55000000,405000000,2766000000,0.0,1328000000,4554000000,4554000000,10519000000,0,10519000000,-155000000,3471000000,2907000000,https://www.sec.gov/Archives/edgar/data/4281/000000428125000011/0000004281-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428125000011/hwm-20241231.htm,2024-12-31,HWM,USD,0000004281,2025-02-14,2025-02-13 17:35:08,2024,FY,1155000000,277000000,55000000,63000000,0,0,0,-49000000,-133000000,-252000000,1298000000,-321000000,-5000000,0,0,10000000,-316000000,-365000000,0,-500000000,-109000000,-52000000,-1026000000,-1000000,-45000000,565000000,610000000,1298000000,-321000000.0,977000000,https://www.sec.gov/Archives/edgar/data/4281/000000428125000011/0000004281-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428125000011/hwm-20241231.htm
HPQ,2024-10-31,2024-10-31,USD,0000047217,2024-12-13,2024-12-12 20:31:46,2024,FY,53559000000,41741000000,11818000000,0.2206538584,1640000000,0,0,5658000000,702000000,8000000000,49741000000,0,607000000,830000000,4705000000,0.0878470472,3818000000,0.0712858717,-539000000,3279000000,0.0612222036,504000000,2775000000,0.0518120204,2.83,2.81,979000000,989000000,https://www.sec.gov/Archives/edgar/data/47217/000004721724000080/0000047217-24-000080-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721724000080/hpq-20241031.htm,2024-10-31,HPQ,USD,0000047217,2024-12-13,2024-12-12 20:31:46,2024,FY,3253000000,0,3253000000,5117000000,7720000000,4774000000,20760000000,4079000000,8627000000,1319000000,9946000000,0,0,5124000000,19149000000,0,39909000000,16903000000,1862000000,1524000000,1446000000,6952000000,28687000000,9068000000,0,0,3477000000,12545000000,0,1261000000,41232000000,0,9000000,-2676000000,-434000000.0,1778000000,-1323000000,-1323000000,39909000000,0,39909000000,15000000,10899000000,7661000000,https://www.sec.gov/Archives/edgar/data/47217/000004721724000080/0000047217-24-000080-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721724000080/hpq-20241031.htm,2024-10-31,HPQ,USD,0000047217,2024-12-13,2024-12-12 20:31:46,2024,FY,2775000000,830000000,-122000000,452000000,-284000000,-929000000,-852000000,2840000000,-1343000000,98000000,3749000000,0,-58000000,-4000000,8000000,-592000000,-646000000,167000000,0,-2100000000,-1075000000,-74000000,-3082000000,0,21000000,3253000000,3232000000,3749000000,0.0,3157000000,https://www.sec.gov/Archives/edgar/data/47217/000004721724000080/0000047217-24-000080-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721724000080/hpq-20241031.htm
HUBB,2024-12-31,2024-12-31,USD,0000048898,2025-02-13,2025-02-13 08:19:23,2024,FY,5628500000,3724400000,1904100000,0.3382961713,0,0,0,812500000,0,812500000,4536900000,0,73800000,212100000,1291200000,0.2294039264,1091600000,0.1939415475,-86300000,1005300000,0.1786088656,221800000,777800000,0.1381895709,14.46,14.37,54126652,54000000,https://www.sec.gov/Archives/edgar/data/48898/000162828025005311/0001628280-25-005311-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828025005311/hubb-20241231.htm,2024-12-31,HUBB,USD,0000048898,2025-02-13,2025-02-13 08:19:23,2024,FY,329100000,15900000,345000000,756000000,841800000,146500000,2089300000,726600000,2500800000,1080000000,3580800000,84900000,0,197500000,4589800000,0,6679100000,541700000,125400000,0,0,607100000,1274200000,1560000000,0,0,562200000,2122200000,0,117300000,3396400000,0,600000,3651600000,-386500000.0,2600000,3268300000,3282700000,6679100000,14400000,6679100000,100800000,1719600000,1390500000,https://www.sec.gov/Archives/edgar/data/48898/000162828025005311/0001628280-25-005311-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828025005311/hubb-20241231.htm,2024-12-31,HUBB,USD,0000048898,2025-02-13,2025-02-13 08:19:23,2024,FY,783500000,212100000,1700000,30600000,-23500000,22200000,-22700000,-13600000,-9400000,-13200000,991200000,-180400000,5900000,-21000000,15800000,120600000,-59100000,-577100000,0,-40000000,-267300000,-39000000,-923400000,-16399999,-7000000,329100000,336100000,991200000,-180400000.0,810800000,https://www.sec.gov/Archives/edgar/data/48898/000162828025005311/0001628280-25-005311-index.htm,https://www.sec.gov/Archives/edgar/data/48898/000162828025005311/hubb-20241231.htm
HUM,2024-12-31,2024-12-31,USD,0000049071,2025-02-20,2025-02-20 14:34:08,2024,FY,117761000000,0,117761000000,1.0,0,0,0,13215000000,101984000000,115199000000,115199000000,0,660000000,968000000,3530000000,0.0299759683,2562000000,0.0217559294,-935000000,1627000000,0.0138161191,413000000,1207000000,0.0102495733,10.01,9.98,120571000,120869000,https://www.sec.gov/Archives/edgar/data/49071/000004907125000007/0000049071-25-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907125000007/hum-20241231.htm,2024-12-31,HUM,USD,0000049071,2025-02-20,2025-02-20 14:34:08,2024,FY,2221000000,18214000000,20435000000,2704000000,0,6676000000,29815000000,2532000000,9631000000,1442000000,11073000000,421000000,-1442000000,2638000000,16664000000,0,46479000000,0,577000000,0,0,16362000000,16939000000,11144000000,0,0,1951000000,13095000000,0,0,30034000000,0,33000000,28317000000,-1067000000.0,-10908000000,16375000000,16445000000,46479000000,70000000,46479000000,19332000000,11721000000,9500000000,https://www.sec.gov/Archives/edgar/data/49071/000004907125000007/0000049071-25-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907125000007/hum-20241231.htm,2024-12-31,HUM,USD,0000049071,2025-02-20,2025-02-20 14:34:08,2024,FY,1214000000,968000000,-192000000,207000000,154000000,-669000000,0,0,823000000,615000000,2966000000,-575000000,-89000000,-8185000000,6358000000,-461000000,-2952000000,218000000,0,-817000000,-431000000,-1457000000,-2487000000,0,-2473000000,2221000000,4694000000,2966000000,-575000000.0,2391000000,https://www.sec.gov/Archives/edgar/data/49071/000004907125000007/0000049071-25-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49071/000004907125000007/hum-20241231.htm
