Ticker,Timestamp,Price,Size,Exchange
MMM,2025-04-24 15:49:36.805213+00:00,138.36,100.0,V
MMM,2025-04-24 15:49:38.742402+00:00,138.37,2.0,V
MMM,2025-04-24 15:49:38.742414+00:00,138.37,2.0,V
ABBV,2025-04-24 15:49:41.603883+00:00,179.77,5.0,V
ABBV,2025-04-24 15:49:41.603919+00:00,179.77,199.0,V
ABBV,2025-04-24 15:49:41.714291+00:00,179.78,9.0,V
ABT,2025-04-24 15:49:55.220559+00:00,129.52,5.0,V
MMM,2025-04-24 15:50:03.481136+00:00,138.37,13.0,V
MMM,2025-04-24 15:50:03.481145+00:00,138.37,6.0,V
ABBV,2025-04-24 15:50:06.103539+00:00,179.715,300.0,V
ABT,2025-04-24 15:50:16.511408+00:00,129.505,50.0,V
ABT,2025-04-24 15:50:16.511901+00:00,129.505,50.0,V
ABT,2025-04-24 15:50:19.714083+00:00,129.495,100.0,V
ABBV,2025-04-24 15:50:25.417576+00:00,179.74,37.0,V
ACN,2025-04-24 15:50:28.179558+00:00,289.555,40.0,V
ACN,2025-04-24 15:50:28.232334+00:00,289.555,10.0,V
ABBV,2025-04-24 15:50:28.472368+00:00,179.69,11.0,V
ABBV,2025-04-24 15:50:28.472438+00:00,179.69,14.0,V
ABBV,2025-04-24 15:50:28.472443+00:00,179.69,7.0,V
ABBV,2025-04-24 15:50:28.472455+00:00,179.69,68.0,V
ABBV,2025-04-24 15:50:34.067045+00:00,179.71,300.0,V
AOS,2025-04-24 15:50:40.500190+00:00,64.94,10.0,V
AOS,2025-04-24 15:50:40.500190+00:00,64.94,1.0,V
ACN,2025-04-24 15:50:49.068360+00:00,289.4,77.0,V
ACN,2025-04-24 15:50:49.068904+00:00,289.55,1.0,V
MMM,2025-04-24 15:51:10.257276+00:00,138.37,3.0,V
ABT,2025-04-24 15:51:14.043821+00:00,129.46,12.0,V
MMM,2025-04-24 15:51:16.503052+00:00,138.32,90.0,V
MMM,2025-04-24 15:51:16.552439+00:00,138.32,10.0,V
MMM,2025-04-24 15:51:18.288391+00:00,138.32,8.0,V
MMM,2025-04-24 15:51:18.288876+00:00,138.33,50.0,V
MMM,2025-04-24 15:51:18.289342+00:00,138.33,50.0,V
ACN,2025-04-24 15:51:34.098201+00:00,289.58,10.0,V
ACN,2025-04-24 15:51:34.139730+00:00,289.57,10.0,V
ABT,2025-04-24 15:51:36.208027+00:00,129.46,100.0,V
MMM,2025-04-24 15:51:36.262674+00:00,138.34,23.0,V
MMM,2025-04-24 15:51:36.335796+00:00,138.34,10.0,V
MMM,2025-04-24 15:51:36.392463+00:00,138.34,60.0,V
MMM,2025-04-24 15:51:36.444719+00:00,138.34,7.0,V
MMM,2025-04-24 15:51:37.922290+00:00,138.32,10.0,V
AOS,2025-04-24 15:51:54.448200+00:00,64.93,100.0,V
AOS,2025-04-24 15:51:54.448230+00:00,64.93,49.0,V
ACN,2025-04-24 15:51:55.662152+00:00,289.56,10.0,V
ABBV,2025-04-24 15:51:58.706003+00:00,179.75,100.0,V
ABT,2025-04-24 15:52:05.122701+00:00,129.46,100.0,V
MMM,2025-04-24 15:52:05.202479+00:00,138.285,10.0,V
MMM,2025-04-24 15:52:05.202524+00:00,138.285,8.0,V
MMM,2025-04-24 15:52:05.395454+00:00,138.285,40.0,V
ACN,2025-04-24 15:52:05.762720+00:00,289.56,10.0,V
ABBV,2025-04-24 15:52:10.326866+00:00,179.76,100.0,V
ABT,2025-04-24 15:52:13.996656+00:00,129.49,91.0,V
ABBV,2025-04-24 15:52:16.856237+00:00,179.77,100.0,V
ABT,2025-04-24 15:52:16.966906+00:00,129.51,1.0,V
AOS,2025-04-24 15:52:17.806053+00:00,64.95,8.0,V
MMM,2025-04-24 15:52:18.653222+00:00,138.33,10.0,V
MMM,2025-04-24 15:52:21.770180+00:00,138.325,10.0,V
