Ticker,Timestamp,Price,Size
AAPL,2025-04-25 15:36:21.114000+00:00,206.81,100
AAPL,2025-04-25 15:36:21.235000+00:00,206.8,100
AAPL,2025-04-25 15:36:21.236000+00:00,206.79,100
T,2025-04-25 15:36:21.674000+00:00,26.66,100
APA,2025-04-25 15:36:20.837000+00:00,16.385,109
AON,2025-04-25 15:36:22.231000+00:00,324.9,100
AAPL,2025-04-25 15:36:22.272000+00:00,206.79,100
AAPL,2025-04-25 15:36:22.272000+00:00,206.79,100
APTV,2025-04-25 15:36:23.528000+00:00,55.73,100
GOOGL,2025-04-25 15:36:22.708000+00:00,162.27,100
AMCR,2025-04-25 15:36:22.735000+00:00,9.51,1000
AMCR,2025-04-25 15:36:22.736000+00:00,9.51,100
AMT,2025-04-25 15:36:24.733000+00:00,210.26,100
AMT,2025-04-25 15:36:24.733000+00:00,210.26,100
GOOGL,2025-04-25 15:36:25.019000+00:00,162.29,100
AMT,2025-04-25 15:36:26.300000+00:00,210.26,100
AMZN,2025-04-25 15:36:26.665000+00:00,186.74,200
AAPL,2025-04-25 15:36:26.665000+00:00,206.8,100
GOOGL,2025-04-25 15:36:27.595000+00:00,162.25,100
T,2025-04-25 15:36:29.086000+00:00,26.66,200
T,2025-04-25 15:36:29.086000+00:00,26.66,200
GOOG,2025-04-25 15:36:30.894000+00:00,164.39,100
ALB,2025-04-25 15:36:31.501000+00:00,56.99,100
GOOGL,2025-04-25 15:36:32.225000+00:00,162.29,100
GOOGL,2025-04-25 15:36:32.443000+00:00,162.3,100
GOOG,2025-04-25 15:36:32.443000+00:00,164.43,100
AAPL,2025-04-25 15:36:32.443000+00:00,206.87,1100
T,2025-04-25 15:36:32.678000+00:00,26.66,100
T,2025-04-25 15:36:32.678000+00:00,26.66,248
T,2025-04-25 15:36:32.678000+00:00,26.66,100
ADBE,2025-04-25 15:36:33.673000+00:00,366.0,100
ADBE,2025-04-25 15:36:33.673000+00:00,366.0,100
AMZN,2025-04-25 15:36:33.577000+00:00,186.85,100
GOOGL,2025-04-25 15:36:34.034000+00:00,162.39,100
ABNB,2025-04-25 15:36:34.683000+00:00,121.79,100
AME,2025-04-25 15:36:34.017000+00:00,166.33,100
AMCR,2025-04-25 15:36:34.252000+00:00,9.51,1500
AMCR,2025-04-25 15:36:34.252000+00:00,9.51,400
AAPL,2025-04-25 15:36:35.006000+00:00,206.98,1400
AAPL,2025-04-25 15:36:36.849000+00:00,206.93,100
AMD,2025-04-25 15:36:35.233000+00:00,95.19,300
AON,2025-04-25 15:36:40.074000+00:00,325.07,100
